id_solicitud,Monto,Edad Solicitud,Genero,Dependientes,Ingresos,Egresos,Score CC,Deficit,IngresoPercapita,Odds,Mes inicial,Prediction,Incobrable
94770,3500,21,Masculino,0,10999,9899,604,1000,10999,4.6,7,0,1
132785,3500,27,Femenino,3,0,3164,652,-3000,0,6.1,4,1,0
95554,13500,19,Femenino,0,7149,4399,0,2500,7149,0.0,7,0,0
134643,5500,45,Masculino,0,7384,3692,588,3500,7384,4.0,4,1,0
175116,3500,33,Femenino,3,0,876,675,-850,0,8.3,11,0,1
123950,3500,38,Femenino,0,22260,2120,642,19000,22260,6.1,2,0,0
137616,3500,35,Femenino,2,0,6341,501,-6000,0,2.0,5,1,0
174267,3500,30,Masculino,1,0,3093,0,-3000,0,0.0,11,0,1
140279,3500,62,Femenino,1,8983,5072,557,3700,4491,2.9,5,0,0
119451,4500,32,Femenino,0,19098,8488,0,10000,19098,0.0,1,0,1
97010,3500,25,Masculino,2,15861,7657,512,7500,5287,2.1,8,1,0
139453,5500,50,Femenino,0,6869,5812,704,1000,6869,8.3,5,0,0
112285,3500,27,Femenino,2,15093,8624,562,6000,5031,3.2,11,0,0
84885,3500,38,Femenino,0,5531,3319,492,2000,5531,1.9,5,0,1
136187,5500,42,Femenino,3,10568,7397,433,3000,2642,1.2,5,0,0
159875,5500,36,Femenino,2,12496,2603,603,9500,4165,4.6,9,0,0
75105,3500,46,Femenino,0,8829,7174,406,1500,8829,0.9,3,1,0
135236,4500,36,Femenino,0,8649,4219,694,4200,8649,8.3,4,0,0
90588,6000,32,Femenino,2,13262,4420,677,8000,4420,8.3,6,0,0
138467,5500,52,Masculino,0,0,6869,492,-6500,0,1.9,5,1,0
153935,3500,37,Masculino,1,0,6772,439,-6500,0,1.3,8,1,0
163349,3500,31,Masculino,3,12496,8330,461,4000,3124,1.5,9,1,1
121708,5500,47,Femenino,1,11671,1061,405,10000,5835,0.9,1,0,0
121274,5500,51,Femenino,1,10610,3448,418,6750,5305,1.2,1,0,0
78774,6000,52,Femenino,0,8829,6622,447,2000,8829,1.3,3,0,0
143187,11000,33,Femenino,2,0,6317,489,-6000,0,1.8,6,0,1
148328,3500,34,Femenino,0,12503,8335,550,4000,12503,2.9,7,0,0
82207,3500,29,Femenino,0,7727,3311,460,4000,7727,1.5,4,1,0
145628,6500,24,Masculino,0,5790,1579,376,4000,5790,0.9,6,0,1
153823,3500,39,Femenino,1,8647,4584,456,3900,4323,1.5,8,0,0
101595,3500,31,Femenino,1,13068,11217,564,1700,6534,3.2,9,0,0
125908,3500,23,Femenino,2,8480,4240,527,4000,2826,2.2,2,0,0
127792,4500,45,Masculino,0,0,5285,401,-5000,0,0.9,3,1,1
83689,6000,37,Masculino,1,13276,8850,614,4000,6638,4.6,5,0,1
71885,3500,37,Masculino,1,0,6086,488,-5500,0,1.8,2,0,0
133957,3500,20,Femenino,1,8439,3164,0,5000,4219,0.0,4,0,0
94241,3500,33,Femenino,0,7919,4399,455,3200,7919,1.5,7,0,0
145219,11000,22,Masculino,0,6317,2105,0,4000,6317,0.0,6,0,0
94573,3500,35,Femenino,2,15399,9349,651,5500,5133,6.1,7,0,0
69849,3500,18,Femenino,0,7233,0,593,6500,7233,4.0,1,1,1
115927,5500,33,Masculino,1,10169,2890,647,6800,5084,6.1,12,0,0
99285,3500,52,Femenino,0,7657,3281,427,4000,7657,1.2,8,0,1
116664,3500,30,Femenino,0,0,8028,566,-7500,0,3.2,12,0,0
103075,3500,48,Femenino,0,8712,0,429,8000,8712,1.2,9,1,0
70381,3500,19,Femenino,0,8012,0,0,7200,8012,0.0,1,1,1
124915,8500,36,Femenino,0,13780,2120,504,11000,13780,2.0,2,0,0
120514,3500,33,Masculino,0,8488,2652,448,5500,8488,1.3,1,0,1
87977,11500,31,Masculino,0,13262,0,573,12000,13262,3.5,6,1,0
