id_solicitud,Monto,Edad Solicitud,Genero,Dependientes,Ingresos,Egresos,Score CC,Ciclo,Monto_Ant,Frecuencia_Ant,Score_Ant,Deficit,IngresoPercapita,Odds,Mes inicial,Prediction,Incobrable
145957,6000,59,Femenino,0,10419,3125,715,3,3125,1.001208703,0.0,7000,10419,8.3,7,0,0
125049,4000,53,Femenino,0,12508,6890,516,2,3710,0.895817256,0.0,5300,12508,2.1,2,1,0
152439,16000,44,Femenino,2,16671,6772,422,2,3125,1.063784247,0.0,9500,5557,1.2,7,1,0
132893,4500,59,Femenino,0,8860,10021,606,8,6856,1.063777516,1.005784599,-1100,8860,4.6,4,0,0
126836,3500,35,Masculino,2,1057,3171,421,3,5813,0.709185254,0.741363797,-2000,352,1.2,3,1,0
115604,11000,30,Masculino,2,5352,4817,603,4,8028,1.13469759,1.020782932,500,1784,4.6,12,0,1
130919,16000,21,Femenino,1,8439,2109,452,4,13185,1.286226866,1.061111906,6000,4219,1.5,4,1,0
129415,7500,51,Femenino,0,10570,8456,612,2,5073,1.666880342,1.046609198,2000,10570,4.6,3,0,0
136645,16000,38,Femenino,1,15852,2113,457,3,5812,2.071990741,1.103933222,13000,7926,1.5,5,0,0
142473,11000,48,Femenino,3,13687,8422,606,4,7896,1.492835968,1.032323095,5000,3421,4.6,6,0,0
141816,6000,55,Masculino,1,10317,5685,518,2,3158,1.190552995,1.007571839,4400,5158,2.1,6,1,1
134746,5500,58,Masculino,0,8454,2642,637,2,5284,1.063783368,1.0,5500,8454,6.1,5,0,0
139062,6000,38,Femenino,0,22193,2113,591,2,3170,2.360078278,1.134211007,19000,22193,4.0,5,0,0
141667,7000,33,Masculino,3,14739,5264,426,2,4211,1.278453689,1.013243398,9000,3684,1.2,6,1,0
140136,8000,44,Femenino,1,11625,8454,446,2,5284,1.215447154,1.02050126,3000,5812,1.3,5,0,0
132181,12500,48,Femenino,2,14768,10548,555,6,10021,1.115171408,0.989601046,4000,4922,2.9,4,1,0
138558,14000,20,Femenino,0,10568,3698,499,4,11625,1.118098835,0.992203875,6500,10568,1.9,5,1,0
136007,8500,52,Femenino,0,12682,0,418,3,5812,1.288390049,1.041623075,12000,12682,1.2,5,1,0
130295,5500,25,Femenino,0,10570,5285,613,2,3699,1.38514174,1.021275121,5000,10570,4.6,3,0,0
131895,7500,21,Femenino,0,8439,6856,684,3,5274,1.194338516,1.00242602,1500,8439,8.3,4,0,0
72380,12500,20,Femenino,0,8853,7746,412,5,9960,1.049004042,0.0,1000,8853,1.2,2,0,0
138610,7500,40,Femenino,2,7186,2642,481,2,5284,1.189058375,0.943466196,4300,2395,1.8,5,1,1
139342,5500,23,Femenino,2,8454,4227,568,2,3170,1.372043011,1.016738847,4000,2818,3.2,5,0,0
134602,13000,36,Femenino,2,10548,5274,446,9,12658,1.104011544,0.916307163,5000,3516,1.3,4,0,0
133217,3500,62,Femenino,1,11603,5274,539,4,7384,1.063777372,0.988939993,6000,5801,2.75,4,1,0
129917,14000,39,Femenino,1,10570,2114,543,2,5285,1.379192334,1.039057317,8000,5285,2.75,3,0,0
133436,6000,44,Femenino,1,9493,2637,670,5,5801,1.063777881,0.969067561,6500,4746,8.3,4,0,0
69057,3500,25,Femenino,1,9459,3338,667,4,4451,1.001206637,0.0,5500,4729,8.3,1,0,0
